order_id,order_date,year,quarter,month,month_name,region,country,category,subcategory,customer_segment,quantity,unit_price,revenue,cost,profit,profit_margin
ORD-000016,2022-11-27,2022,Q4,11,November,North America,Mexico,Office Supplies,Binders,Consumer,12,26.81,321.72,140.39,181.33,56.36
ORD-000017,2023-09-22,2023,Q3,9,September,Europe,Germany,Furniture,Tables,Consumer,16,201.63,3226.08,1791.1,1434.98,44.48
ORD-000018,2024-12-26,2024,Q4,12,December,Europe,France,Clothing,Accessories,Consumer,20,117.05,2341.0,1458.58,882.42,37.69
ORD-000019,2023-03-10,2023,Q1,3,March,Europe,United Kingdom,Clothing,Jackets,Corporate,15,361.35,5420.25,3868.43,1551.82,28.63
ORD-000020,2023-04-06,2023,Q2,4,April,North America,Canada,Electronics,Audio,Home Office,8,613.78,4910.24,4410.39,499.85,10.18
ORD-000021,2022-05-01,2022,Q2,5,May,Europe,Germany,Electronics,Tablets,Consumer,9,1309.68,11787.12,8637.08,3150.04,26.72
ORD-000022,2023-03-15,2023,Q1,3,March,Europe,Spain,Clothing,Pants,Corporate,7,325.89,2281.23,1646.37,634.86,27.83
ORD-000023,2024-06-01,2024,Q2,6,June,Asia Pacific,India,Clothing,Shoes,Home Office,4,35.86,143.44,104.97,38.47,26.82
ORD-000024,2023-11-26,2023,Q4,11,November,North America,United States,Furniture,Desks,Home Office,14,717.03,10038.42,7478.16,2560.26,25.5
ORD-000025,2024-08-05,2024,Q3,8,August,Europe,Germany,Clothing,Accessories,Consumer,18,34.48,620.64,309.82,310.82,50.08
ORD-000026,2022-07-11,2022,Q3,7,July,Europe,France,Clothing,Shoes,Corporate,13,97.29,1264.77,606.16,658.61,52.07
ORD-000027,2022-12-04,2022,Q4,12,December,Latin America,Brazil,Clothing,Jackets,Corporate,18,124.82,2246.76,1238.95,1007.81,44.86
ORD-000028,2024-09-23,2024,Q3,9,September,Europe,France,Office Supplies,Pens,Consumer,18,117.94,2122.92,1447.22,675.7,31.83
ORD-000029,2023-10-05,2023,Q4,10,October,North America,United States,Clothing,Accessories,Home Office,17,75.61,1285.37,933.14,352.23,27.4
ORD-000030,2023-01-16,2023,Q1,1,January,North America,Mexico,Electronics,Smartphones,Corporate,19,343.72,6530.68,5475.62,1055.06,16.16
ORD-000031,2022-03-23,2022,Q1,3,March,North America,Canada,Office Supplies,Staplers,Consumer,11,135.6,1491.6,937.31,554.29,37.16
ORD-000032,2024-03-21,2024,Q1,3,March,Europe,United Kingdom,Clothing,Jackets,Consumer,20,18.59,371.8,167.48,204.32,54.95
ORD-000033,2022-07-24,2022,Q3,7,July,North America,Mexico,Furniture,Tables,Corporate,12,268.09,3217.08,1723.52,1493.56,46.43
ORD-000034,2023-05-16,2023,Q2,5,May,Asia Pacific,Australia,Furniture,Sofas,Home Office,20,1079.03,21580.6,10894.84,10685.76,49.52
ORD-000035,2024-12-19,2024,Q4,12,December,North America,Mexico,Office Supplies,Paper,Consumer,4,56.57,226.28,108.0,118.28,52.27
ORD-000036,2022-11-15,2022,Q4,11,November,Asia Pacific,Australia,Furniture,Shelves,Consumer,9,1056.25,9506.25,6163.64,3342.61,35.16
ORD-000037,2023-05-30,2023,Q2,5,May,North America,United States,Clothing,Jackets,Consumer,5,16.37,81.85,45.74,36.11,44.12
ORD-000038,2023-06-21,2023,Q2,6,June,Europe,Italy,Clothing,Accessories,Consumer,5,58.07,290.35,170.24,120.11,41.37
ORD-000039,2024-01-27,2024,Q1,1,January,Europe,Italy,Furniture,Chairs,Corporate,2,597.81,1195.62,634.06,561.56,46.97
ORD-000040,2023-03-07,2023,Q1,3,March,Europe,Germany,Office Supplies,Notebooks,Corporate,5,194.9,974.5,411.5,563.0,57.77
ORD-000041,2023-04-30,2023,Q2,4,April,Europe,France,Clothing,Shirts,Consumer,11,298.58,3284.38,1692.39,1591.99,48.47
ORD-000042,2024-04-23,2024,Q2,4,April,Europe,United Kingdom,Furniture,Chairs,Corporate,16,1318.48,21095.68,15468.83,5626.85,26.67
ORD-000043,2024-07-31,2024,Q3,7,July,Asia Pacific,Australia,Furniture,Desks,Consumer,13,1017.25,13224.25,9277.09,3947.16,29.85
ORD-000044,2022-05-23,2022,Q2,5,May,Asia Pacific,Australia,Clothing,Accessories,Corporate,4,376.61,1506.44,733.47,772.97,51.31
ORD-000045,2023-06-19,2023,Q2,6,June,Europe,Spain,Office Supplies,Paper,Consumer,12,121.33,1455.96,700.95,755.01,51.86
ORD-000046,2023-10-05,2023,Q4,10,October,Latin America,Brazil,Clothing,Accessories,Consumer,14,113.07,1582.98,1186.43,396.55,25.05
ORD-000047,2023-02-08,2023,Q1,2,February,Asia Pacific,India,Electronics,Tablets,Home Office,4,819.09,3276.36,2359.18,917.18,27.99
ORD-000048,2023-09-08,2023,Q3,9,September,Asia Pacific,India,Office Supplies,Binders,Home Office,5,62.65,313.25,201.25,112.0,35.75
ORD-000049,2024-02-16,2024,Q1,2,February,Europe,Spain,Office Supplies,Binders,Home Office,10,167.58,1675.8,1028.82,646.98,38.61
ORD-000050,2024-05-30,2024,Q2,5,May,Asia Pacific,India,Clothing,Shoes,Home Office,16,97.28,1556.48,796.73,759.75,48.81
ORD-000051,2022-12-14,2022,Q4,12,December,North America,Canada,Office Supplies,Paper,Consumer,8,136.2,1089.6,499.07,590.53,54.2
ORD-000052,2022-10-29,2022,Q4,10,October,North America,United States,Furniture,Sofas,Home Office,3,1286.63,3859.89,2560.56,1299.33,33.66
ORD-000053,2023-02-03,2023,Q1,2,February,Latin America,Colombia,Clothing,Pants,Consumer,1,267.58,267.58,129.03,138.55,51.78
ORD-000054,2022-08-07,2022,Q3,8,August,Latin America,Argentina,Furniture,Tables,Corporate,8,151.31,1210.48,635.21,575.27,47.52
ORD-000055,2022-09-06,2022,Q3,9,September,Latin America,Argentina,Clothing,Accessories,Home Office,15,244.25,3663.75,2074.43,1589.32,43.38
ORD-000056,2024-10-30,2024,Q4,10,October,Latin America,Colombia,Furniture,Sofas,Corporate,8,448.05,3584.4,1964.4,1620.0,45.2
ORD-000057,2023-07-22,2023,Q3,7,July,Latin America,Argentina,Office Supplies,Binders,Consumer,8,144.14,1153.12,713.19,439.93,38.15
ORD-000058,2023-10-17,2023,Q4,10,October,North America,United States,Furniture,Desks,Corporate,7,1065.41,7457.87,5822.59,1635.28,21.93
ORD-000059,2024-04-14,2024,Q2,4,April,Asia Pacific,South Korea,Clothing,Shoes,Consumer,14,94.63,1324.82,838.82,486.0,36.68
ORD-000060,2022-02-10,2022,Q1,2,February,Latin America,Colombia,Electronics,Tablets,Corporate,14,1896.01,26544.14,20318.08,6226.06,23.46
ORD-000061,2023-03-28,2023,Q1,3,March,Latin America,Argentina,Office Supplies,Binders,Corporate,11,10.66,117.26,58.55,58.71,50.07
ORD-000062,2024-04-08,2024,Q2,4,April,Europe,Italy,Furniture,Tables,Home Office,13,118.29,1537.77,957.16,580.61,37.76
ORD-000063,2022-02-25,2022,Q1,2,February,North America,Mexico,Clothing,Pants,Corporate,9,84.97,764.73,486.57,278.16,36.37
ORD-000064,2023-03-10,2023,Q1,3,March,Latin America,Chile,Office Supplies,Binders,Corporate,14,151.64,2122.96,1325.4,797.56,37.57
ORD-000065,2022-06-17,2022,Q2,6,June,Latin America,Brazil,Electronics,Tablets,Consumer,2,1642.85,3285.7,2337.58,948.12,28.86
ORD-000066,2023-05-22,2023,Q2,5,May,Europe,Germany,Furniture,Desks,Consumer,4,752.46,3009.84,1898.63,1111.21,36.92
ORD-000067,2023-03-23,2023,Q1,3,March,Latin America,Chile,Office Supplies,Pens,Home Office,4,123.41,493.64,230.36,263.28,53.33
ORD-000068,2022-12-02,2022,Q4,12,December,Asia Pacific,China,Electronics,Tablets,Home Office,13,1709.5,25557.02,17797.39,7759.63,30.36
ORD-000069,2023-02-11,2023,Q1,2,February,North America,Mexico,Furniture,Chairs,Home Office,20,1176.92,23538.4,13142.47,10395.93,44.17
ORD-000070,2022-03-26,2022,Q1,3,March,Asia Pacific,South Korea,Clothing,Jackets,Consumer,11,209.79,2307.69,1722.01,585.68,25.38
ORD-000071,2024-05-10,2024,Q2,5,May,Latin America,Brazil,Clothing,Jackets,Home Office,15,358.26,5373.9,2890.12,2483.78,46.22
ORD-000072,2024-06-10,2024,Q2,6,June,Europe,Spain,Office Supplies,Notebooks,Home Office,15,156.06,2340.9,1332.74,1008.16,43.07
ORD-000073,2023-07-04,2023,Q3,7,July,Asia Pacific,Japan,Electronics,Tablets,Corporate,15,647.47,9712.05,7357.24,2354.81,24.25
ORD-000074,2024-02-16,2024,Q1,2,February,Asia Pacific,China,Clothing,Jackets,Consumer,12,202.71,2432.52,1242.17,1190.35,48.93
ORD-000075,2023-11-29,2023,Q4,11,November,Asia Pacific,South Korea,Office Supplies,Notebooks,Consumer,7,105.74,740.18,499.12,241.06,32.57
ORD-000076,2024-04-12,2024,Q2,4,April,Latin America,Argentina,Clothing,Shoes,Corporate,3,320.28,960.84,635.82,325.02,33.83
ORD-000077,2024-04-08,2024,Q2,4,April,Europe,United Kingdom,Office Supplies,Binders,Home Office,14,108.53,1519.42,609.3,910.12,59.9
ORD-000078,2023-11-09,2023,Q4,11,November,Asia Pacific,India,Office Supplies,Staplers,Corporate,7,49.95,349.65,211.66,137.99,39.47
ORD-000079,2023-01-15,2023,Q1,1,January,Europe,France,Clothing,Jackets,Home Office,17,241.99,4113.83,2348.84,1764.99,42.9
ORD-000080,2022-07-25,2022,Q3,7,July,Europe,United Kingdom,Furniture,Shelves,Consumer,18,509.22,9165.96,6984.69,2181.27,23.8
ORD-000081,2022-04-04,2022,Q2,4,April,North America,Mexico,Office Supplies,Pens,Home Office,16,174.35,2789.6,1866.87,922.73,33.08
ORD-000082,2022-01-26,2022,Q1,1,January,Asia Pacific,India,Clothing,Shoes,Corporate,2,85.98,171.96,115.95,56.01,32.57
ORD-000083,2024-09-05,2024,Q3,9,September,North America,United States,Clothing,Shoes,Consumer,2,237.15,474.3,334.14,140.16,29.55
ORD-000084,2023-09-15,2023,Q3,9,September,North America,United States,Electronics,Audio,Corporate,20,1535.48,30709.6,25905.95,4803.65,15.64
ORD-000085,2024-12-06,2024,Q4,12,December,Latin America,Colombia,Clothing,Jackets,Home Office,10,396.16,3961.6,2295.4,1666.2,42.06
ORD-000086,2022-05-04,2022,Q2,5,May,North America,United States,Furniture,Shelves,Home Office,8,195.29,1562.32,1168.39,393.93,25.21
ORD-000087,2022-06-03,2022,Q2,6,June,Europe,Germany,Clothing,Shoes,Home Office,10,243.62,2436.2,1803.29,632.91,25.98
ORD-000088,2023-08-14,2023,Q3,8,August,Asia Pacific,India,Electronics,Smartphones,Corporate,19,1980.18,37623.42,27642.09,9981.33,26.53
ORD-000089,2023-02-10,2023,Q1,2,February,Latin America,Brazil,Furniture,Desks,Corporate,3,1253.82,3761.46,2941.87,819.59,21.79
ORD-000090,2023-09-22,2023,Q3,9,September,Asia Pacific,India,Electronics,Cameras,Home Office,13,795.02,10335.26,6866.03,3469.23,33.57
ORD-000091,2024-10-21,2024,Q4,10,October,Latin America,Colombia,Electronics,Audio,Consumer,11,2229.09,28197.99,18367.23,9830.76,34.86
ORD-000092,2022-02-22,2022,Q1,2,February,North America,United States,Electronics,Tablets,Home Office,6,148.57,891.42,697.42,194.0,21.76
ORD-000093,2024-06-24,2024,Q2,6,June,Asia Pacific,Japan,Clothing,Shoes,Consumer,14,195.95,2743.3,1783.17,960.13,35.0
ORD-000094,2022-08-03,2022,Q3,8,August,Europe,United Kingdom,Clothing,Shoes,Corporate,13,270.09,3511.17,1776.41,1734.76,49.41
ORD-000095,2022-03-17,2022,Q1,3,March,Latin America,Brazil,Office Supplies,Staplers,Corporate,13,27.6,358.8,158.06,200.74,55.95
ORD-000096,2022-01-03,2022,Q1,1,January,Latin America,Colombia,Electronics,Smartphones,Home Office,16,936.36,14981.76,11141.15,3840.61,25.64
ORD-000097,2022-04-16,2022,Q2,4,April,Europe,United Kingdom,Furniture,Shelves,Corporate,16,1330.8,21292.8,16258.59,5034.21,23.64
ORD-000098,2023-05-06,2023,Q2,5,May,Europe,United Kingdom,Electronics,Audio,Corporate,4,278.36,1113.44,873.65,239.79,21.54
ORD-000099,2022-08-29,2022,Q3,8,August,Europe,Italy,Office Supplies,Notebooks,Home Office,16,58.32,933.12,378.78,554.34,59.41
ORD-000100,2023-05-15,2023,Q2,5,May,Latin America,Argentina,Clothing,Pants,Home Office,5,210.67,1053.35,516.98,536.37,50.92
ORD-000101,2023-07-20,2023,Q3,7,July,Latin America,Chile,Office Supplies,Paper,Corporate,19,146.58,2785.02,1464.98,1320.04,47.4
ORD-000102,2024-09-29,2024,Q3,9,September,Europe,Italy,Clothing,Jackets,Corporate,18,227.49,4094.82,2607.73,1487.09,36.32
ORD-000103,2023-10-22,2023,Q4,10,October,Europe,France,Clothing,Pants,Corporate,16,31.8,508.8,273.95,234.85,46.16
ORD-000104,2024-02-20,2024,Q1,2,February,Latin America,Argentina,Clothing,Shirts,Consumer,19,208.38,3959.22,2575.08,1384.14,34.96
ORD-000105,2022-07-25,2022,Q3,7,July,Latin America,Brazil,Clothing,Shirts,Home Office,5,70.5,352.5,256.46,96.04,27.25
ORD-000106,2023-06-27,2023,Q2,6,June,Asia Pacific,South Korea,Clothing,Shirts,Corporate,18,343.15,6176.7,3928.36,2248.34,36.4
ORD-000107,2023-10-11,2023,Q4,10,October,Latin America,Brazil,Electronics,Smartphones,Home Office,10,1726.78,19857.97,11235.18,8622.79,43.42
ORD-000108,2022-07-05,2022,Q3,7,July,Latin America,Brazil,Electronics,Cameras,Consumer,1,1750.3,1750.3,1555.15,195.15,11.15
ORD-000109,2022-04-25,2022,Q2,4,April,Asia Pacific,Australia,Office Supplies,Binders,Consumer,14,52.62,736.68,390.6,346.08,46.98
ORD-000110,2023-01-04,2023,Q1,1,January,Europe,France,Electronics,Audio,Corporate,8,1568.29,12546.32,9730.71,2815.61,22.44
ORD-000111,2022-10-21,2022,Q4,10,October,Europe,Italy,Office Supplies,Binders,Corporate,15,135.03,2025.45,870.21,1155.24,57.04
ORD-000112,2022-11-20,2022,Q4,11,November,North America,Canada,Office Supplies,Notebooks,Corporate,14,129.59,1814.26,894.26,920.0,50.71
ORD-000113,2024-07-24,2024,Q3,7,July,Asia Pacific,Japan,Clothing,Shoes,Consumer,19,106.32,2020.08,1297.52,722.56,35.77
ORD-000114,2023-08-29,2023,Q3,8,August,Asia Pacific,China,Clothing,Jackets,Consumer,2,232.88,465.76,222.08,243.68,52.32
ORD-000115,2024-10-14,2024,Q4,10,October,Asia Pacific,Japan,Office Supplies,Pens,Home Office,9,42.08,378.72,188.1,190.62,50.33
ORD-000116,2022-10-08,2022,Q4,10,October,North America,Mexico,Electronics,Tablets,Corporate,12,131.74,1818.01,1133.35,684.66,37.66
ORD-000117,2022-07-04,2022,Q3,7,July,Asia Pacific,Australia,Clothing,Pants,Consumer,18,65.88,1185.84,577.58,608.26,51.29
ORD-000118,2024-01-20,2024,Q1,1,January,Asia Pacific,Japan,Office Supplies,Binders,Corporate,11,150.58,1656.38,759.83,896.55,54.13
ORD-000119,2024-08-17,2024,Q3,8,August,North America,United States,Furniture,Sofas,Home Office,13,599.4,7792.2,6201.22,1590.98,20.42
ORD-000120,2022-09-11,2022,Q3,9,September,Latin America,Chile,Office Supplies,Notebooks,Corporate,12,165.37,1984.44,1324.61,659.83,33.25
ORD-000121,2023-04-24,2023,Q2,4,April,Latin America,Brazil,Office Supplies,Notebooks,Consumer,15,131.29,1969.35,841.27,1128.08,57.28
ORD-000122,2023-09-11,2023,Q3,9,September,Latin America,Brazil,Furniture,Chairs,Consumer,16,512.2,8195.2,6270.67,1924.53,23.48
ORD-000123,2023-04-26,2023,Q2,4,April,Europe,Italy,Clothing,Jackets,Home Office,18,380.51,6849.18,4275.68,2573.5,37.57
ORD-000124,2022-11-13,2022,Q4,11,November,Latin America,Brazil,Clothing,Accessories,Corporate,9,376.54,3388.86,2508.38,880.48,25.98
ORD-000125,2024-01-29,2024,Q1,1,January,Europe,Italy,Clothing,Pants,Corporate,12,53.25,639.0,374.88,264.12,41.33
ORD-000126,2024-01-05,2024,Q1,1,January,North America,Canada,Office Supplies,Pens,Consumer,15,190.06,2850.9,1917.22,933.68,32.75
ORD-000127,2023-03-11,2023,Q1,3,March,North America,United States,Office Supplies,Pens,Consumer,7,158.46,1109.22,753.62,355.6,32.06
ORD-000128,2023-03-01,2023,Q1,3,March,Europe,France,Office Supplies,Pens,Home Office,5,5.55,27.75,11.2,16.55,59.64
ORD-000129,2023-05-29,2023,Q2,5,May,Europe,Germany,Electronics,Smartphones,Consumer,8,927.69,7421.52,5586.82,1834.7,24.72
ORD-000130,2022-02-02,2022,Q1,2,February,Europe,United Kingdom,Electronics,Smartphones,Home Office,4,1081.35,4325.4,3086.53,1238.87,28.64
ORD-000131,2024-09-02,2024,Q3,9,September,Latin America,Chile,Electronics,Cameras,Home Office,20,592.8,11856.0,10541.87,1314.13,11.08
ORD-000132,2024-12-03,2024,Q4,12,December,Asia Pacific,India,Electronics,Laptops,Corporate,14,2125.88,34226.67,21681.12,12545.55,36.65
ORD-000133,2024-10-01,2024,Q4,10,October,Latin America,Brazil,Electronics,Tablets,Home Office,5,413.42,2377.16,1718.27,658.89,27.72
ORD-000134,2023-10-28,2023,Q4,10,October,Latin America,Chile,Clothing,Accessories,Home Office,4,180.63,722.52,357.04,365.48,50.58
ORD-000135,2023-03-17,2023,Q1,3,March,Latin America,Colombia,Furniture,Sofas,Corporate,13,1254.94,16314.22,11015.41,5298.81,32.48
ORD-000136,2022-07-14,2022,Q3,7,July,Asia Pacific,India,Office Supplies,Staplers,Corporate,16,190.95,3055.2,2077.11,978.09,32.01
ORD-000137,2022-06-24,2022,Q2,6,June,North America,Canada,Electronics,Tablets,Consumer,19,1413.11,26849.09,17743.06,9106.03,33.92
ORD-000138,2023-11-07,2023,Q4,11,November,North America,Canada,Office Supplies,Binders,Home Office,10,15.03,150.3,78.14,72.16,48.01
ORD-000139,2023-12-22,2023,Q4,12,December,North America,Mexico,Furniture,Desks,Home Office,4,764.71,3058.84,2125.79,933.05,30.5
ORD-000140,2024-01-23,2024,Q1,1,January,North America,Canada,Furniture,Sofas,Home Office,20,1463.86,29277.2,18032.65,11244.55,38.41
ORD-000141,2022-02-23,2022,Q1,2,February,Asia Pacific,China,Furniture,Shelves,Home Office,11,1162.62,12788.82,8884.3,3904.52,30.53
ORD-000142,2023-01-07,2023,Q1,1,January,Europe,Spain,Clothing,Shirts,Consumer,1,300.27,300.27,216.94,83.33,27.75
ORD-000143,2024-12-22,2024,Q4,12,December,Europe,Italy,Clothing,Shoes,Corporate,10,75.6,756.0,403.34,352.66,46.65
ORD-000144,2022-06-23,2022,Q2,6,June,North America,United States,Furniture,Tables,Consumer,9,1037.04,9333.36,6225.97,3107.39,33.29
ORD-000145,2024-05-18,2024,Q2,5,May,Latin America,Colombia,Clothing,Jackets,Consumer,4,305.65,1222.6,790.35,432.25,35.35
ORD-000146,2022-08-16,2022,Q3,8,August,Asia Pacific,South Korea,Clothing,Accessories,Home Office,8,133.74,1069.92,675.57,394.35,36.86
ORD-000147,2022-04-23,2022,Q2,4,April,North America,United States,Office Supplies,Pens,Consumer,10,154.01,1540.1,926.47,613.63,39.84
ORD-000148,2022-01-16,2022,Q1,1,January,Latin America,Colombia,Furniture,Desks,Corporate,8,836.27,6690.16,4348.08,2342.08,35.01
ORD-000149,2023-12-27,2023,Q4,12,December,North America,Canada,Electronics,Cameras,Consumer,3,1176.4,4058.58,2415.64,1642.94,40.48
ORD-000150,2024-05-29,2024,Q2,5,May,Latin America,Colombia,Office Supplies,Paper,Corporate,11,9.07,99.77,64.69,35.08,35.16
ORD-000151,2024-07-31,2024,Q3,7,July,Asia Pacific,China,Clothing,Shirts,Consumer,13,182.74,2375.62,1408.29,967.33,40.72
ORD-000152,2024-03-21,2024,Q1,3,March,Asia Pacific,Australia,Furniture,Shelves,Consumer,4,188.46,753.84,483.07,270.77,35.92
ORD-000153,2023-02-02,2023,Q1,2,February,Asia Pacific,Australia,Furniture,Desks,Consumer,7,287.95,2015.65,1507.61,508.04,25.2
ORD-000154,2022-11-10,2022,Q4,11,November,North America,United States,Clothing,Shoes,Home Office,15,307.55,4613.25,2517.27,2095.98,45.43
ORD-000155,2023-10-24,2023,Q4,10,October,Asia Pacific,Japan,Clothing,Shirts,Corporate,10,185.25,1852.5,946.81,905.69,48.89
ORD-000156,2022-04-26,2022,Q2,4,April,Asia Pacific,South Korea,Electronics,Tablets,Corporate,2,1157.19,2314.38,1869.59,444.79,19.22
ORD-000157,2023-08-11,2023,Q3,8,August,North America,Mexico,Electronics,Audio,Home Office,15,1292.32,19384.8,14633.93,4750.87,24.51
ORD-000158,2022-03-26,2022,Q1,3,March,Latin America,Argentina,Office Supplies,Notebooks,Corporate,2,102.77,205.54,116.1,89.44,43.51
ORD-000159,2023-12-05,2023,Q4,12,December,North America,Mexico,Furniture,Chairs,Consumer,15,1084.82,16272.3,10459.5,5812.8,35.72
ORD-000160,2022-11-22,2022,Q4,11,November,Asia Pacific,Australia,Office Supplies,Binders,Corporate,20,156.02,3120.4,2135.26,985.14,31.57
ORD-000161,2023-11-17,2023,Q4,11,November,North America,Canada,Electronics,Audio,Home Office,9,997.08,10319.78,6452.7,3867.08,37.47
ORD-000162,2022-11-04,2022,Q4,11,November,Asia Pacific,China,Furniture,Shelves,Corporate,13,1454.13,18903.69,14391.65,4512.04,23.87
ORD-000163,2022-06-23,2022,Q2,6,June,Asia Pacific,South Korea,Clothing,Jackets,Consumer,17,272.99,4640.83,3350.51,1290.32,27.8
ORD-000164,2024-05-17,2024,Q2,5,May,Asia Pacific,China,Office Supplies,Staplers,Consumer,11,190.48,2095.28,871.01,1224.27,58.43
ORD-000165,2024-09-22,2024,Q3,9,September,Europe,France,Furniture,Desks,Consumer,4,500.02,2000.08,1295.44,704.64,35.23
ORD-000166,2024-12-14,2024,Q4,12,December,North America,Mexico,Office Supplies,Notebooks,Consumer,5,121.46,607.3,395.55,211.75,34.87
ORD-000167,2022-12-06,2022,Q4,12,December,Latin America,Brazil,Clothing,Jackets,Home Office,15,292.04,4380.6,2483.02,1897.58,43.32
ORD-000168,2024-07-08,2024,Q3,7,July,Europe,Spain,Furniture,Shelves,Corporate,7,1363.64,9545.48,6583.02,2962.46,31.04
ORD-000169,2024-06-21,2024,Q2,6,June,Latin America,Chile,Clothing,Accessories,Home Office,6,176.18,1057.08,533.75,523.33,49.51
ORD-000170,2022-10-11,2022,Q4,10,October,Asia Pacific,China,Clothing,Jackets,Home Office,17,374.7,6369.9,3150.87,3219.03,50.54
ORD-000171,2023-08-07,2023,Q3,8,August,North America,United States,Office Supplies,Binders,Home Office,14,33.73,472.22,317.56,154.66,32.75
ORD-000172,2023-03-31,2023,Q1,3,March,Latin America,Chile,Electronics,Cameras,Consumer,12,1021.31,12255.72,10307.74,1947.98,15.89
ORD-000173,2022-06-17,2022,Q2,6,June,Asia Pacific,Japan,Electronics,Tablets,Consumer,11,2105.98,23165.78,16265.96,6899.82,29.78
ORD-000174,2022-10-09,2022,Q4,10,October,North America,Canada,Clothing,Pants,Home Office,20,195.61,3912.2,2927.99,984.21,25.16
ORD-000175,2022-06-12,2022,Q2,6,June,North America,Canada,Furniture,Desks,Home Office,20,1415.12,28302.4,18160.76,10141.64,35.83
ORD-000176,2022-08-16,2022,Q3,8,August,Asia Pacific,Japan,Office Supplies,Paper,Consumer,20,51.5,1030.0,579.75,450.25,43.71
ORD-000177,2022-08-16,2022,Q3,8,August,Latin America,Brazil,Furniture,Desks,Corporate,20,689.52,13790.4,9572.68,4217.72,30.58
ORD-000178,2024-05-03,2024,Q2,5,May,Europe,Germany,Office Supplies,Paper,Home Office,17,111.1,1888.7,1008.1,880.6,46.62
ORD-000179,2024-03-10,2024,Q1,3,March,Latin America,Brazil,Clothing,Jackets,Corporate,12,302.72,3632.64,1865.16,1767.48,48.66
ORD-000180,2023-12-08,2023,Q4,12,December,Europe,Germany,Office Supplies,Pens,Consumer,11,73.7,810.7,369.64,441.06,54.4
ORD-000181,2022-12-25,2022,Q4,12,December,Latin America,Colombia,Furniture,Desks,Consumer,15,1096.78,16451.7,12978.83,3472.87,21.11
ORD-000182,2023-02-17,2023,Q1,2,February,North America,United States,Electronics,Tablets,Corporate,18,1312.69,23628.42,18469.16,5159.26,21.83
ORD-000183,2022-03-16,2022,Q1,3,March,Europe,United Kingdom,Office Supplies,Paper,Home Office,4,69.73,278.92,128.36,150.56,53.98
ORD-000184,2024-06-13,2024,Q2,6,June,Latin America,Colombia,Clothing,Jackets,Consumer,16,206.04,3296.64,2109.18,1187.46,36.02
ORD-000185,2024-11-29,2024,Q4,11,November,Asia Pacific,China,Clothing,Shirts,Corporate,6,246.94,1481.64,868.77,612.87,41.36
ORD-000186,2023-10-20,2023,Q4,10,October,North America,United States,Office Supplies,Staplers,Corporate,14,91.95,1287.3,836.75,450.55,35.0
ORD-000187,2024-06-28,2024,Q2,6,June,Asia Pacific,India,Electronics,Tablets,Home Office,9,2495.47,22459.23,16622.81,5836.42,25.99
ORD-000188,2022-04-28,2022,Q2,4,April,North America,Mexico,Clothing,Jackets,Home Office,6,323.42,1940.52,900.72,1039.8,53.58
ORD-000189,2022-10-20,2022,Q4,10,October,Latin America,Brazil,Furniture,Chairs,Consumer,12,1185.49,14225.88,9835.13,4390.75,30.86
